"rgmod","rgcont","id_pays","pays","pays_trad","pays_orig","population","continent","lien","nb_cas","nb_mort","nb_gueri","nb_teste","nb_actif","p_mort","p_gueri","p_actif","n_cas","n_gueri","n_mort","nb_rea"
"96","35","118","Luxembourg","Luxembourg","Luxembourg","629765","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","27092","226","15428","1226544","11438","0.0083","0.5695","0.4222","548","0","4","46"
"97","11","36","Cameroon","Cameroun","Cameroun","26789092","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","22692","433","21510","149000","749","0.0191","0.9479","0.0330","0","0","0","41"
"98","12","46","Côte d’Ivoire","Côte d’Ivoire","Côte d’Ivoire","26618749","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","20976","128","20647","204756","201","0.0061","0.9843","0.0096","31","17","1",
"99","36","108","Kosovo","Kosovo","Kosovo","1920079","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","19842","681",,"0",,"0.0343",,,"0",,"0",
"100","37","68","Finland","Finlande","Finlande","5543972","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","19315","369","14000","1710217","4946","0.0191","0.7248","0.2561","213","0","0","15"
"101","13","119","Madagascar","Madagascar","Madagascar","27952796","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","17310","250","16592","92992","468","0.0144","0.9585","0.0270","87","76","1","16"
"102","33","188","Sri Lanka","Sri Lanka","Sri Lanka","21447081","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","17287","58","11495","661387","5734","0.0034","0.6650","0.3317","704","171","5",
"103","14","215","Zambia","Zambie","Zambie","18572756","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","17123","353","16137","327832","633","0.0206","0.9424","0.0370","26","0","3",
"104","15","203","Uganda","Uganda","Uganda","46268408","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","16020","145","8038","588533","7837","0.0091","0.5017","0.4892","231","0","1",
"105","16","176","Senegal","Sénégal","Sénégal","16906057","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","15793","328","15416","218821","49","0.0208","0.9761","0.0031","14","9","1","4"
"106","17","189","Sudan","Soudan","Soudan","44226812","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","14626","1116","9571","0","3939","0.0763","0.6544","0.2693","0","0","0",
"107","18","136","Mozambique","Mozambique","Mozambique","31576544","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","14448","113","12505","210599","1830","0.0078","0.8655","0.1267","108","0","3",
"108","19","139","Namibia","Namibie","Namibie","2557979","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","13508","138","12680","141417","690","0.0102","0.9387","0.0511","59","213","0","6"
"109","20","5","Angola","Angola","Angola","33239753","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","13451","322","6444","171247","6685","0.0239","0.4791","0.4970","77","99","0","28"
"110","21","85","Guinea","Guinée","Guinée","13263564","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","12611","75","11151","50920","1385","0.0059","0.8842","0.1098","26","110","1","24"
"111","34","122","Maldives","Maldives","Maldives","544079","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","12204","43","11289","150743","872","0.0035","0.9250","0.0715","50","27","1","12"
"112","22","52","Democratic Republic of the Congo","RD Congo","RD Congo","90556956","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","11760","319","11086","0","355","0.0271","0.9427","0.0302","0","0","0",
"113","1","71","French Polynesia","Polynésie","France","281519","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","11706","53","4842","26355","6811","0.0045","0.4136","0.5818","0","0","0","26"
"114","35","218","Tajikistan","Tadjikistan","Tadjikistan","9616728","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","11610","85","10973","0","552","0.0073","0.9451","0.0475","37","39","0",
"115","20","70","French Guiana","Guyane  française","France","301528","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","10844","70","9995","78762","779","0.0065","0.9217","0.0718","0","0","0",
